id,first_name,last_name,email,prob
1,Hristya,Pisanko,hristya.pisanko@ukr.net,92.37
2,Nestor,Borisenko,nestor.borisenko@gmail.com,97.59
3,Avtonom,Iemec,avtonom.iemec@gmail.com,96.12
4,Mykhailo,Bohatskyi,mykhailo.bohatskyi@gmail.com,80.25
5,Zlat,Minchenko,zlat.minchenko@gmail.com,91.85
6,Ceciliya,Semenenko,ceciliya.semenenko@ukr.net,97.07
7,Tolislav,Barbon,tolislav.barbon@gmail.com,45.17
8,Svitozar,Pisarchuk,svitozar.pisarchuk@gmail.com,89.4
9,Tolislav,Bryuhoveckiy,tolislav.bryuhoveckiy@gmail.com,47.01
10,Ievgen,Zlenko,ievgen.zlenko@gmail.com,54.73
11,Maruta,Prodan,maruta.prodan@ukr.net,12.45
12,Arsen,Dubina,arsen.dubina@gmail.com,95.88
13,Tverdislav,Tomashchuk,tverdislav.tomashchuk@gmail.com,90.24
14,Ostromisl,Pushchenko,ostromisl.pushchenko@gmail.com,94.28
15,Maksim,Gorodnyuk,maksim.gorodnyuk@gmail.com,91.9
16,Yasnogor,Ohrimenko,yasnogor.ohrimenko@gmail.com,96.69
17,Alina,Bilousenko,alina.bilousenko@ukr.net,76.83
18,Dalemir,Yaremkiv,dalemir.yaremkiv@gmail.com,87.57
19,Virodar,Medvid,virodar.medvid@gmail.com,96.37
20,Tereza,Lushchik,tereza.lushchik@ukr.net,70.06
21,Varfolomiy,Bih,varfolomiy.bih@gmail.com,98.8
22,Rayisa,Antonich,rayisa.antonich@ukr.net,52.08
23,Domoslav,Kozhuhar,domoslav.kozhuhar@gmail.com,84.74
24,Ceciliya,Berinda,ceciliya.berinda@ukr.net,96.75
25,Semen,Stovpchenko,semen.stovpchenko@gmail.com,65.29
26,Zhadana,Avramenko,zhadana.avramenko@ukr.net,92.38
27,Vishezor,Kurtyak,vishezor.kurtyak@gmail.com,0.98
28,Yuhim,Hodakovskiy,yuhim.hodakovskiy@gmail.com,5.42
29,Lyubovir,Ponomarenko,lyubovir.ponomarenko@gmail.com,12.79
30,Yulina,Sinchenko,yulina.sinchenko@ukr.net,4.91
31,Sergiy,Panchik,sergiy.panchik@gmail.com,0.51
32,Adriyan,Samoylovich,adriyan.samoylovich@gmail.com,7.28
33,Lada,Lukach,lada.lukach@ukr.net,0.74
34,Shchedrogost,Muzika,shchedrogost.muzika@gmail.com,1.26
35,Ariadna,Novakivskiy,ariadna.novakivskiy@ukr.net,4.23
36,Stepan,Zhigalko,stepan.zhigalko@gmail.com,6.91
37,Vishezor,Gudzenko,vishezor.gudzenko@gmail.com,23.95
38,Arkadiy,Kocilovskiy,arkadiy.kocilovskiy@gmail.com,7.86
39,Liposlav,Chubatiy,liposlav.chubatiy@gmail.com,0.23
40,Timoh,Shulga Vasil,timoh.shulgavasil@gmail.com,5.74
41,Zhozefina,Kanishevskiy,zhozefina.kanishevskiy@ukr.net,0.59
42,Gordogost,Galaychuk,gordogost.galaychuk@gmail.com,3.77
43,Ruslana,Galenko,ruslana.galenko@ukr.net,1.44
44,Lolita,Bukatevich,lolita.bukatevich@ukr.net,0.77
45,Bozhen,Voievidka,bozhen.voievidka@gmail.com,1.27
46,Fedir,Dacko,fedir.dacko@gmail.com,16.88
47,Vlada,Maksimchuk,vlada.maksimchuk@ukr.net,83.48
48,Solovey,Yackovich,solovey.yackovich@gmail.com,3.28
49,Volelyub,Yurchak,volelyub.yurchak@gmail.com,1.37
50,Oresta,Maksimovich,oresta.maksimovich@ukr.net,1.01
51,Zirka,Vashchenko,zirka.vashchenko@ukr.net,0.62
52,Derzhislav,Kutas,derzhislav.kutas@gmail.com,1.66
53,Leonid,Shtepa,leonid.shtepa@gmail.com,89.09
54,Zlata,Kis,zlata.kis@ukr.net,0.71
55,Mar'yana,Ribchinskiy,mar'yana.ribchinskiy@ukr.net,1.24
56,Olimpiada,Komisarenko,olimpiada.komisarenko@ukr.net,3.27
57,Yovilla,Klinchuk,yovilla.klinchuk@ukr.net,4.82
58,Osipa,Kompaniiec,osipa.kompaniiec@ukr.net,47.53
59,Boguslav,Musiienko,boguslav.musiienko@gmail.com,0.63
60,Radmila,Onufriv,radmila.onufriv@ukr.net,0.48
61,Alla,Mashkovskiy,alla.mashkovskiy@ukr.net,1.76
62,Anfisa,Chepura,anfisa.chepura@ukr.net,1.26
63,Bozheyko,Garan,bozheyko.garan@gmail.com,0.61
64,Surma,Sak,surma.sak@gmail.com,1.91
65,Marina,Dovbnya,marina.dovbnya@ukr.net,0.53
66,P'ier,Hodimchuk,p'ier.hodimchuk@gmail.com,0.77
67,Artemiza,Goreckiy,artemiza.goreckiy@ukr.net,2.63
68,Mstislav,Ilinskiy,mstislav.ilinskiy@gmail.com,98.22
69,Svitolik,Kocyubinskiy,svitolik.kocyubinskiy@gmail.com,1.74
70,Grigoriy,Voznyak,grigoriy.voznyak@gmail.com,4.57
71,Odinec,Beregoviy,odinec.beregoviy@gmail.com,2.08
72,Ielizaveta,Kaganec,ielizaveta.kaganec@ukr.net,0.87
73,Nemira,Vintoniv,nemira.vintoniv@ukr.net,0.94
74,Dobrolyub,Grebinka,dobrolyub.grebinka@gmail.com,1.65
75,Carko,Klochko,carko.klochko@gmail.com,0.76
76,Dorofiy,Zhiteckiy,dorofiy.zhiteckiy@gmail.com,14.37
77,Dem'yan,Omelyan,dem'yan.omelyan@gmail.com,0.69
78,Yaromil,Mandrika,yaromil.mandrika@gmail.com,4.89
79,Makar,Shepotko,makar.shepotko@gmail.com,2.75
80,Slavolyub,Azhazha,slavolyub.azhazha@gmail.com,97.84
81,Artemisa,Levchuk,artemisa.levchuk@ukr.net,86.16
82,Hotimir,Golovenko,hotimir.golovenko@gmail.com,13.07
83,Ceciliya,Sokur,ceciliya.sokur@ukr.net,1.35
84,Ostap,Zaglada,ostap.zaglada@gmail.com,1.95
85,P'ier,Mihaylenko,p'ier.mihaylenko@gmail.com,2.66
86,Atanas,Mazurenko,atanas.mazurenko@gmail.com,93.72
87,David,Boreyko,david.boreyko@gmail.com,0.62
88,Kikiliya,Andriievich,kikiliya.andriievich@ukr.net,19.29
89,Yasnozir,Kalinovskiy,yasnozir.kalinovskiy@gmail.com,0.65
90,Beatrisa,Babarichenko,beatrisa.babarichenko@ukr.net,96.73
91,Dina,Velikiy,dina.velikiy@ukr.net,0.77
92,Dana,Revenko,dana.revenko@ukr.net,97.9
93,Vedan,Petrus,vedan.petrus@gmail.com,27.13
94,Azaliya,Burbeza,azaliya.burbeza@ukr.net,1.05
95,Krasunya,Zalyubovskiy,krasunya.zalyubovskiy@ukr.net,0.41
96,Radan,Rusnak,radan.rusnak@gmail.com,2.01
97,Agnesa,Trigub,agnesa.trigub@ukr.net,2.95
98,Dorogochin,Saliychuk,dorogochin.saliychuk@gmail.com,0.78
99,Radim,Stepura,radim.stepura@gmail.com,1.04
100,Gorun,Marusik,gorun.marusik@gmail.com,0.59
101,Terentiy,Bakumenko,terentiy.bakumenko@gmail.com,3.25
102,Osmomisl,Galibey,osmomisl.galibey@gmail.com,17.02
103,Afanasiya,Us,afanasiya.us@ukr.net,1.45
104,Yugina,Cherinko,yugina.cherinko@ukr.net,0.77
105,Nedan,Vagilevich,nedan.vagilevich@gmail.com,96.79
106,Yustina,Banah,yustina.banah@ukr.net,0.23
107,Adriyan,Gudim,adriyan.gudim@gmail.com,3.67
108,Valentin,Kuzemskiy,valentin.kuzemskiy@gmail.com,8.48
109,Vita,Babenko,vita.babenko@ukr.net,0.31
110,Zinoviy,Tyagno,zinoviy.tyagno@gmail.com,98.04
111,Harita,Koritko,harita.koritko@ukr.net,1.09
112,Hotina,Martinovich,hotina.martinovich@ukr.net,94.51
113,Garnoslav,Hmil,garnoslav.hmil@gmail.com,0.77
114,Arsena,Dibrova,arsena.dibrova@ukr.net,1.2
115,Mykhailo,Yannvskyi,mihaylo.yanovska@gmail.com,97.05
116,Silata,Tkachuk,silata.tkachuk@ukr.net,2.39
117,Milan,Teslya,milan.teslya@gmail.com,0.67
118,Svitozar,Balickiy,svitozar.balickiy@gmail.com,1.55
119,Polyan,Zacniy,polyan.zacniy@gmail.com,0.63
120,Revun,Stegniy,revun.stegniy@gmail.com,0.96
121,Artur,Balaban,artur.balaban@gmail.com,2.03
122,Dariya,Chayka Roman,dariya.chaykaroman@ukr.net,0.6
123,Roman,Komzyuk,roman.komzyuk@gmail.com,2.12
124,Domaha,Rozumniy,domaha.rozumniy@ukr.net,1.03
125,Lyubomisl,Cap,lyubomisl.cap@gmail.com,0.61
126,Gatusil,Danileyko,gatusil.danileyko@gmail.com,96.81
127,Svitodara,Shutko,svitodara.shutko@ukr.net,0.4
128,Gradimir,Miroshnichenko,gradimir.miroshnichenko@gmail.com,0.77
129,Rianna,Shmorgun,rianna.shmorgun@ukr.net,1.15
130,Gerasim,Prokopiv,gerasim.prokopiv@gmail.com,0.55
131,Glikeriya,Cibulko,glikeriya.cibulko@ukr.net,4.5
132,Ganna,Chornovolenko,ganna.chornovolenko@ukr.net,1.31
133,Dibach,Divak,dibach.divak@gmail.com,1.04
134,Perelyub,Gres,perelyub.gres@gmail.com,1.0
135,Lyutomisl,Vasilik,lyutomisl.vasilik@gmail.com,95.29
136,Orhip,Gvozdik,orhip.gvozdik@gmail.com,0.8
137,Vitryan,Sichinskiy,vitryan.sichinskiy@gmail.com,2.18
138,Roman,Davidchenko,roman.davidchenko@gmail.com,9.98
139,Anna,Troshchinskiy,anna.troshchinskiy@ukr.net,2.95
140,Timish,Gutnik,timish.gutnik@gmail.com,90.46
141,Hotimir,Rusin,hotimir.rusin@gmail.com,1.83
142,Rad,Lemishka,rad.lemishka@gmail.com,0.44
143,Svitokol,Shavel,svitokol.shavel@gmail.com,6.17
144,Yavolod,Burch,yavolod.burch@gmail.com,1.21
145,Nagnibida,Yuzefovich,nagnibida.yuzefovich@gmail.com,0.55
146,Vselyud,Pokropivniy,vselyud.pokropivniy@gmail.com,1.2
147,Mikita,Berezhniy,mikita.berezhniy@gmail.com,76.57
148,Veselan,Pidluzhniy,veselan.pidluzhniy@gmail.com,8.3
149,Hranimir,Gavrilenko,hranimir.gavrilenko@gmail.com,1.32
150,Gradimir,Stepoviy,gradimir.stepoviy@gmail.com,25.52
151,Nadiya,Gladkih,nadiya.gladkih@ukr.net,0.85
152,Yivga,Kondratyuk,yivga.kondratyuk@ukr.net,3.41
153,Feliksa,Kozachenko,feliksa.kozachenko@ukr.net,0.44
154,Kvitka,Suhoviienko,kvitka.suhoviienko@ukr.net,2.56
155,Ieremiy,Burchak,ieremiy.burchak@gmail.com,0.88
156,Zborislav,Kobec,zborislav.kobec@gmail.com,1.11
157,Hvalimir,Rubchuk,hvalimir.rubchuk@gmail.com,3.26
158,Visheslav,Danilyuk,visheslav.danilyuk@gmail.com,0.51
159,Borislav,Telishevskiy,borislav.telishevskiy@gmail.com,0.55
160,Radivoy,Zatovkanyuk,radivoy.zatovkanyuk@gmail.com,5.95
161,Radogosta,Docenko,radogosta.docenko@ukr.net,1.55
162,Verban,Yakovchuk,verban.yakovchuk@gmail.com,94.38
163,Artur,Bilyak,artur.bilyak@gmail.com,0.33
164,Radivoy,Yarich,radivoy.yarich@gmail.com,84.61
165,Malva,Shablovskiy,malva.shablovskiy@ukr.net,2.84
166,Mirana,Guculyak,mirana.guculyak@ukr.net,3.85
167,Sobislav,Onopriienko,sobislav.onopriienko@gmail.com,4.08
168,Asya,Kushnirov,asya.kushnirov@ukr.net,1.04
169,Zlatomir,Berest,zlatomir.berest@gmail.com,96.88
170,Grozan,Apostol,grozan.apostol@gmail.com,5.61
171,Svitolyuba,Apostol,svitolyuba.apostol@ukr.net,1.49
172,Liposlav,Simashkevich,liposlav.simashkevich@gmail.com,83.0
173,Grigoriy,Pisarchuk,grigoriy.pisarchuk@gmail.com,0.82
174,Peremisl,Doroshenko,peremisl.doroshenko@gmail.com,0.51
175,Daromir,Tobilevichi,daromir.tobilevichi@gmail.com,1.07
176,Georgiy,Dudik,georgiy.dudik@gmail.com,1.64
177,Rosava,Avduievskiy,rosava.avduievskiy@ukr.net,38.4
178,Kornilo,Brodskiy,kornilo.brodskiy@gmail.com,9.46
179,Timoh,Palivoda,timoh.palivoda@gmail.com,0.61
180,Volelyub,Kobilyanskiy,volelyub.kobilyanskiy@gmail.com,0.83
181,Silata,Pantelyuk,silata.pantelyuk@ukr.net,3.13
182,Oskold,Kravchuk,oskold.kravchuk@gmail.com,0.69
183,Berta,Fedishin,berta.fedishin@ukr.net,0.97
184,Sobimir,Odrehivskiy,sobimir.odrehivskiy@gmail.com,1.3
185,Zhivoslav,Markus,zhivoslav.markus@gmail.com,0.74
186,Nagnibida,Nestayko,nagnibida.nestayko@gmail.com,1.69
187,Lyubomil,Oberemko,lyubomil.oberemko@gmail.com,1.44
188,Kvitan,Iesipenko,kvitan.iesipenko@gmail.com,9.29
189,Lyana,Omelyanenko,lyana.omelyanenko@ukr.net,1.63
190,Yan,Vengrinovich,yan.vengrinovich@gmail.com,5.13
191,Rianna,Aronec,rianna.aronec@ukr.net,1.53
192,Rina,Ustimenko,rina.ustimenko@ukr.net,1.5
193,Garnoslav,Koniskiy,garnoslav.koniskiy@gmail.com,62.6
194,Radimira,Donchuk,radimira.donchuk@ukr.net,18.09
195,Miroslava,Levinskiy,miroslava.levinskiy@ukr.net,1.21
196,Sobibor,Zhiteckiy,sobibor.zhiteckiy@gmail.com,5.79
197,Matviy,Gricyak,matviy.gricyak@gmail.com,2.07
198,Vasilina,Diduh,vasilina.diduh@ukr.net,0.73
199,Roksolan,Dublyanski,roksolan.dublyanski@gmail.com,96.87
200,Yosipa,Markovichi,yosipa.markovichi@ukr.net,0.62
201,Likeriya,Veres,likeriya.veres@ukr.net,0.4
